Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Jacob Duran,40,Male,R&D,Sales Executive,17997,1,6,No,1,1,8,2,14,Travel_Rarely,6,27,31
Nicholas Franklin,51,Other,HR,Analyst,16751,8,8,No,3,3,4,5,19,Travel_Frequently,6,33,29
Cindy Cannon,40,Other,R&D,Analyst,17587,0,1,No,4,4,1,3,25,Travel_Frequently,0,43,45
Dawn Nixon,31,Female,Sales,Manager,14249,27,12,No,4,2,0,1,19,Non-Travel,3,33,36
James Barber,27,Male,HR,Analyst,16596,19,11,Yes,1,4,6,1,29,Travel_Frequently,1,23,25
Ms. Kelly Holder,56,Male,R&D,Analyst,10491,4,7,No,3,3,6,5,6,Travel_Frequently,6,43,39
Eric Walker,57,Female,R&D,Developer,3681,7,10,No,1,3,3,3,11,Non-Travel,0,48,46
Alison Short,53,Female,R&D,Analyst,13342,29,14,Yes,4,3,1,2,14,Non-Travel,4,16,12
Desiree Spencer,59,Male,R&D,Sales Executive,3006,2,14,Yes,2,1,1,4,9,Travel_Frequently,5,46,49
Tammy Moore,28,Female,HR,Sales Executive,15744,12,1,Yes,1,2,6,5,17,Travel_Rarely,5,28,28
Henry Taylor,51,Female,HR,Developer,15740,18,2,Yes,4,4,0,2,5,Travel_Rarely,2,20,16
Kevin Hall,31,Female,HR,Developer,17418,9,6,Yes,2,3,5,2,20,Non-Travel,4,16,16
Anna Ross,42,Male,HR,Manager,18857,10,10,Yes,4,4,2,4,17,Travel_Rarely,2,31,28
Morgan Cummings,59,Female,Sales,Analyst,13365,9,10,No,2,2,9,4,20,Non-Travel,1,22,25
Carrie Petersen,34,Male,Sales,Manager,11764,17,9,Yes,4,3,0,4,2,Non-Travel,4,37,33
Laura Velez,58,Male,HR,Sales Executive,5532,21,13,No,3,2,2,3,29,Travel_Rarely,0,15,17
